ID;tipos_discursivos
3043;DT
3043;N
3044;DI
3044;N
3044;RI
3044;N
3045;N
3045;DT
3046;DI
3047;N
3048;N
3050;DT
3051;N
3051;DT
3051;N
3052;DI
3052;DT
3052;DI
3053;DI
3053;N
3054;DI
3055;DT
3055;DT
3055;DI
3056;N
3056;RI
3056;N
3057;DT
3057;N
3058;N
3059;DT
3061;DT
3061;N
3062;N
3063;DT
3064;DT
3065;N
3066;DT
3066;N
3067;N
3068;N
3069;DT
3069;DI
3069;DT
3070;DT
3070;RI
3071;N
3071;DI
3073;N
3074;DT
3075;N
3075;DT
3076;N
3077;DT
3079;N
3080;N
3080;DT
3080;N
3081;DT
3081;N
3081;DT
3082;N
3083;N
3083;DT
3084;DI
3085;N
3086;RI
3086;DT
3086;RI
3087;DT
3089;N
3089;RI
3089;N
3090;DT
3090;RI
3090;N
3090;N
3090;DT
3091;N
3091;DT
3091;RI
3091;N
3091;DT
3092;DI
3093;DT
3093;N
3094;RI
3095;DT
3096;N
3098;N
3099;DT
3100;DT
3101;N
3101;DT
3101;N
3101;RI
3102;DT
3102;RI
3102;DT
3103;RI
3104;DT
3106;DT
3106;N
3107;DT
3107;RI
3107;N
3108;N
3108;DT
3109;DT
3110;N
3110;RI
3110;DI
3111;N
3112;DI
3113;N
3113;DT
3113;N
3114;DT
3114;RI
3115;DT
3115;RI
3115;DT
3115;RI
3116;DT
3117;RI
3118;DI
3120;DI
3121;DT
3122;N
3122;DT
3123;DT
3124;N
3124;DI
3125;N
3126;N
3126;DT
3127;DT
3128;DT
3129;N
3130;N
3131;N
3131;DT
3132;RI
3132;N
3133;RI
3134;N
3135;DT
3136;DT
3137;DT
3138;RI
3139;DT
3140;N
3141;DT
3142;DT
3143;DT
3143;N
3144;N
3144;DT
3144;N
3145;DI
3146;DT
3147;DT
3148;N
3149;DT
3149;N
3150;DT
3151;DT
3152;N
3152;RI
3152;N
3153;N
3154;DT
3155;RI
3156;N
3156;RI
3157;DT
3157;N
3158;N
3159;DT
3160;DT
3161;DT
3162;DT
3163;DT
3164;N
3164;DT